,documentid,recordtype_x,borough_x,block,lot,easement,partiallot,airrights,subterraneanrights,propertytype,streetnumber,streetname,unit,goodthroughdate_x,recordtype_y,crfn,borough_y,doctype,docdate,docamount,recorded/filed,modifieddate,reelyear,reelnbr,reelpage,%transferred,goodthroughdate_y
52,2013021500434001,L,4,528,50,N,E,N,N,SP,33-47,14 STREET,3C,07/31/2015,A,2.01300007743e+12,4,RPTT&RET,02/06/2013,348000,02/25/2013,02/25/2013,0,0,0,100,07/31/2015
53,2010021900182001,L,4,528,50,N,E,N,N,SP,33-43,14TH STREET,4D,07/31/2015,A,2.01000006439e+12,4,RPTT&RET,02/28/2008,325000,02/24/2010,02/24/2010,0,0,0,100,07/31/2015
54,2014093002270001,L,4,528,50,N,E,N,N,SP,33-68,21 STREET,10A,07/31/2015,A,2.01400033937e+12,1,RPTT&RET,09/25/2014,452000,10/10/2014,10/10/2014,0,0,0,100,07/31/2015
55,2009031700963001,L,4,528,50,N,E,N,N,SP,33-64,21ST STREET,2A,07/31/2015,A,2.00900008338e+12,4,RPTT&RET,03/11/2009,191000,03/23/2009,03/23/2009,0,0,0,100,07/31/2015
56,2008090301355001,L,4,528,50,N,E,N,N,SP,33-43,14TH   STREET,6D,07/31/2015,A,2.00800038983e+12,1,RETT,04/14/2006,240000,10/02/2008,10/02/2008,0,0,0,0,07/31/2015
57,2013032801109001,L,4,528,50,N,E,N,N,SP,33-65,14 STREET,4A,07/31/2015,A,2.01300016569e+12,1,RPTT&RET,04/01/2013,190000,04/25/2013,04/25/2013,0,0,0,100,07/31/2015
58,2007053001311001,L,4,528,50,N,E,N,N,SP,33-43,14 STREET,15D,07/31/2015,A,2.00700029498e+12,4,RPTT&RET,05/29/2007,297000,06/07/2007,06/07/2007,0,0,0,100,07/31/2015
59,2015050401222001,L,4,528,50,N,E,N,N,SP,33-68,21ST STREET,4D,07/31/2015,A,2.01500016156e+12,1,RPTT&RET,04/28/2015,425000,05/14/2015,05/14/2015,0,0,0,100,07/31/2015
60,FT_4440002601544,L,4,528,50,N,E,N,N,PA,33-60,14 STREET,,07/31/2015,A,,4,MTGE,,1000000,10/04/1989,10/04/1989,1989,2882,1472,0,07/31/2015
61,2012101400003001,L,4,528,50,N,E,N,N,SP,33-43,14TH STREET,5A,07/31/2015,A,2.01200045781e+12,1,RPTT&RET,11/08/2012,304000,11/21/2012,11/21/2012,0,0,0,100,07/31/2015
